Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,648903235,s,position_lat,464245494,semicircles,position_long,-919039868,semicircles,distance,468.73,m,altitude,47.799999999999955,m,speed,7.137,m/s,power,0,watts,cadence,0,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903236,s,position_lat,464245491,semicircles,position_long,-919040852,semicircles,distance,475.89,m,altitude,47.799999999999955,m,speed,7.154,m/s,power,57,watts,cadence,80,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903237,s,position_lat,464245454,semicircles,position_long,-919041863,semicircles,distance,483.23,m,altitude,47.799999999999955,m,speed,7.34,m/s,power,54,watts,cadence,81,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903238,s,position_lat,464245429,semicircles,position_long,-919042902,semicircles,distance,490.79,m,altitude,47.799999999999955,m,speed,7.112,m/s,power,54,watts,cadence,81,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903239,s,position_lat,464245395,semicircles,position_long,-919043900,semicircles,distance,498.05,m,altitude,47.799999999999955,m,speed,6.919,m/s,power,54,watts,cadence,81,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903240,s,position_lat,464245340,semicircles,position_long,-919044923,semicircles,distance,505.51,m,altitude,47.799999999999955,m,speed,7.178,m/s,power,0,watts,cadence,0,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903241,s,position_lat,464245313,semicircles,position_long,-919045913,semicircles,distance,512.71,m,altitude,47.799999999999955,m,speed,7.198,m/s,power,0,watts,cadence,0,rpm,temperature,25,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903242,s,position_lat,464245299,semicircles,position_long,-919046924,semicircles,distance,520.06,m,altitude,47.799999999999955,m,speed,7.211,m/s,power,0,watts,cadence,0,rpm,temperature,25,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903243,s,position_lat,464245695,semicircles,position_long,-919047976,semicircles,distance,527.97,m,altitude,47.799999999999955,m,speed,7.036,m/s,power,0,watts,cadence,0,rpm,temperature,25,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903244,s,position_lat,464245998,semicircles,position_long,-919049008,semicircles,distance,535.66,m,altitude,47.799999999999955,m,speed,7.269,m/s,power,0,watts,cadence,0,rpm,temperature,25,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903245,s,position_lat,464246207,semicircles,position_long,-919050022,semicircles,distance,543.12,m,altitude,47.799999999999955,m,speed,7.252,m/s,power,0,watts,cadence,0,rpm,temperature,25,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903246,s,position_lat,464246330,semicircles,position_long,-919051015,semicircles,distance,550.37,m,altitude,47.799999999999955,m,speed,7.121,m/s,power,0,watts,cadence,0,rpm,temperature,25,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903247,s,position_lat,464246326,semicircles,position_long,-919051995,semicircles,distance,557.5,m,altitude,48.0,m,speed,7.302,m/s,power,77,watts,cadence,80,rpm,temperature,25,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903248,s,position_lat,464246176,semicircles,position_long,-919052931,semicircles,distance,564.33,m,altitude,48.0,m,speed,7.268,m/s,power,72,watts,cadence,77,rpm,temperature,25,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903249,s,position_lat,464246155,semicircles,position_long,-919053908,semicircles,distance,571.44,m,altitude,48.0,m,speed,7.264,m/s,power,72,watts,cadence,77,rpm,temperature,25,°C,,,,,,,,,,,,,
