Timestamp [s],Event,Event Type,Event Group,Event Data,Timestamp,Cadence [rpm],Speed [m/s],Distance [m],Power [watts],Latitude [semicircles],Longitude [semicircles],Altitude [m],
Sat Jul 24 06:52:38 EDT 2010,TIMER,START,0,Trigger: MANUAL,
Sat Jul 24 06:52:39 EDT 2010,BATTERY,MARKER,135,,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:27 EDT 2010,75,6.537,699.59,69,464246125,-919071566,46.4,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:29 EDT 2010,0,5.97,707.93,0,464246113,-919072715,46.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:29 EDT 2010,71,6.443,713.56,102,464246367,-919073450,46.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:30 EDT 2010,72,6.475,720.54,111,464246534,-919074391,46.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:31 EDT 2010,72,6.569,727.8,108,464246659,-919075379,46.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:32 EDT 2010,72,6.732,735.42,113,464246689,-919076428,46.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:33 EDT 2010,72,6.931,743.2,113,464246607,-919077506,46.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:34 EDT 2010,73,7.263,751.23,102,464246377,-919078580,46.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:35 EDT 2010,73,6.93,758.34,88,464246397,-919079558,46.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:36 EDT 2010,74,7.018,765.67,94,464246398,-919080566,46.0,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:37 EDT 2010,73,6.709,772.69,118,464246524,-919081532,46.0,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:38 EDT 2010,73,6.671,779.45,118,464246662,-919082459,46.0,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:39 EDT 2010,73,6.692,786.07,103,464246747,-919083366,46.0,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:40 EDT 2010,76,7.184,793.21,131,464246728,-919084348,46.0,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:41 EDT 2010,76,7.938,800.85,131,464246657,-919085394,46.0,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:42 EDT 2010,77,6.845,808.13,104,464246574,-919086393,46.0,
